2018-10-08 12:24:53 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-10-08 12:24:54 INFO  HiveMetaStore:589 - 0: Opening raw store with implemenation class:org.apache.hadoop.hive.metastore.ObjectStore
2018-10-08 12:24:54 INFO  ObjectStore:289 - ObjectStore, initialize called
2018-10-08 12:24:54 INFO  Persistence:77 - Property hive.metastore.integral.jdo.pushdown unknown - will be ignored
2018-10-08 12:24:54 INFO  Persistence:77 - Property datanucleus.cache.level2 unknown - will be ignored
2018-10-08 12:24:55 INFO  ObjectStore:370 - Setting MetaStore object pin classes with hive.metastore.cache.pinobjtypes="Table,StorageDescriptor,SerDeInfo,Partition,Database,Type,FieldSchema,Order"
2018-10-08 12:24:55 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MFieldSchema" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 12:24:55 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MOrder" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 12:24:55 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MFieldSchema" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 12:24:55 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MOrder" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 12:24:55 INFO  Query:77 - Reading in results for query "org.datanucleus.store.rdbms.query.SQLQuery@0" since the connection used is closing
2018-10-08 12:24:55 INFO  MetaStoreDirectSql:139 - Using direct SQL, underlying DB is DERBY
2018-10-08 12:24:55 INFO  ObjectStore:272 - Initialized ObjectStore
2018-10-08 12:24:56 INFO  HiveMetaStore:663 - Added admin role in metastore
2018-10-08 12:24:56 INFO  HiveMetaStore:672 - Added public role in metastore
2018-10-08 12:24:56 INFO  HiveMetaStore:712 - No user is added in admin role, since config is empty
2018-10-08 12:24:56 INFO  HiveMetaStore:746 - 0: get_all_databases
2018-10-08 12:24:56 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_all_databases	
2018-10-08 12:24:56 INFO  HiveMetaStore:746 - 0: get_functions: db=default pat=*
2018-10-08 12:24:56 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_functions: db=default pat=*	
2018-10-08 12:24:56 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MResourceUri" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 12:24:56 INFO  HiveMetaStore:746 - 0: get_functions: db=tpcds_db pat=*
2018-10-08 12:24:56 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_functions: db=tpcds_db pat=*	
2018-10-08 12:24:56 INFO  SessionState:641 - Created local directory: /var/folders/z2/52r6zpqx4g79gdsyz01h48_w0000gn/T/04cffe3d-a813-40f3-8fea-586570a30d0e_resources
2018-10-08 12:24:56 INFO  SessionState:641 - Created HDFS directory: /tmp/hive/edoardo/04cffe3d-a813-40f3-8fea-586570a30d0e
2018-10-08 12:24:56 INFO  SessionState:641 - Created local directory: /var/folders/z2/52r6zpqx4g79gdsyz01h48_w0000gn/T/edoardo/04cffe3d-a813-40f3-8fea-586570a30d0e
2018-10-08 12:24:56 INFO  SessionState:641 - Created HDFS directory: /tmp/hive/edoardo/04cffe3d-a813-40f3-8fea-586570a30d0e/_tmp_space.db
2018-10-08 12:24:56 INFO  SparkContext:54 - Running Spark version 2.3.2
2018-10-08 12:24:56 INFO  SparkContext:54 - Submitted application: SparkSQL::192.168.0.101
2018-10-08 12:24:56 INFO  SecurityManager:54 - Changing view acls to: edoardo
2018-10-08 12:24:56 INFO  SecurityManager:54 - Changing modify acls to: edoardo
2018-10-08 12:24:56 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-10-08 12:24:56 INFO  SecurityManager:54 - Changing modify acls groups to: 
2018-10-08 12:24:56 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(edoardo); groups with view permissions: Set(); users  with modify permissions: Set(edoardo); groups with modify permissions: Set()
2018-10-08 12:24:56 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 50057.
2018-10-08 12:24:56 INFO  SparkEnv:54 - Registering MapOutputTracker
2018-10-08 12:24:56 INFO  SparkEnv:54 - Registering BlockManagerMaster
2018-10-08 12:24:56 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2018-10-08 12:24:56 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2018-10-08 12:24:56 INFO  DiskBlockManager:54 - Created local directory at /private/var/folders/z2/52r6zpqx4g79gdsyz01h48_w0000gn/T/blockmgr-720d8928-c072-4526-b2bf-c462dee4d0b6
2018-10-08 12:24:56 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2018-10-08 12:24:56 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2018-10-08 12:24:56 INFO  log:192 - Logging initialized @4292ms
2018-10-08 12:24:56 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2018-10-08 12:24:56 INFO  Server:419 - Started @4356ms
2018-10-08 12:24:56 INFO  AbstractConnector:278 - Started ServerConnector@445821a6{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2018-10-08 12:24:56 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@45292ec1{/jobs,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@37a9b687{/jobs/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@525b1b70{/jobs/job,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@16f0ec18{/jobs/job/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6c977dcf{/stages,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@661d6bb6{/stages/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@733fb462{/stages/stage,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@385dfb63{/stages/stage/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@364fd4ae{/stages/pool,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@245253d8{/stages/pool/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@12417468{/storage,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@459003a0{/storage/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@d325518{/storage/rdd,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3b481bf5{/storage/rdd/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2233cac0{/environment,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@67fb5025{/environment/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@787e4357{/executors,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@392781e{/executors/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3fcbc766{/executors/threadDump,null,AVAILABLE,@Spark}
